자치구,행정동,2020년_만65세이상_인구수,2021년_만65세이상_인구수,2022년_만65세이상_인구수
관악구,신원동,3098,3197,3286
관악구,서림동,3363,3501,3658
관악구,신사동,3319,3441,3551
관악구,신림동,1839,1927,1956
관악구,난향동,2614,2679,2826
관악구,조원동,2671,2776,3007
관악구,대학동,2822,3030,3157
관악구,은천동,5660,5842,6057
관악구,성현동,5163,5331,5522
관악구,청룡동,4241,4442,4650
관악구,난곡동,5172,5372,5552
관악구,삼성동,5587,5515,5483
관악구,미성동,5566,5794,6031
서초구,서초1동,2887,2954,3107
서초구,서초2동,2441,3133,3340
서초구,서초3동,4488,4716,4924
서초구,서초4동,3812,4078,4262
서초구,잠원동,3158,3193,3330
서초구,반포본동,1775,232,26
서초구,반포1동,3383,3912,4080
서초구,반포2동,1781,1903,2053
서초구,반포3동,2747,2947,3210
서초구,반포4동,2734,2803,2961
서초구,방배본동,2895,2998,3140
서초구,방배1동,2727,2834,2949
서초구,방배2동,3377,3458,3523
서초구,방배3동,3569,3325,3253
서초구,방배4동,3311,3473,3546
서초구,양재1동,6666,6887,7177
서초구,양재2동,2776,2906,3054
서초구,내곡동,3138,3253,3421
강남구,신사동,2825,2925,2993
강남구,개포3동,3113,3359,3526
강남구,논현1동,2830,2858,2910
강남구,논현2동,2986,3026,3095
강남구,삼성1동,1992,2096,2163
강남구,삼성2동,3210,3559,3837
강남구,대치1동,2208,2456,2632
강남구,대치2동,4502,4873,5252
강남구,대치4동,1985,2056,2051
강남구,역삼1동,3433,3543,3574
강남구,역삼2동,3381,3540,3832
강남구,도곡1동,2780,2897,3066
강남구,도곡2동,4533,4741,5020
강남구,개포1동,1466,1553,1650
강남구,개포2동,3002,3536,3842
강남구,개포4동,2857,3158,3395
강남구,일원본동,2823,3051,3356
강남구,일원1동,3096,3225,3342
강남구,수서동,4354,4600,4888
강남구,세곡동,6275,6515,6854
강남구,압구정동,4772,4959,5135
강남구,청담동,3523,3584,3723
송파구,풍납1동,2724,2698,2788
송파구,풍납2동,3590,3772,4007
송파구,거여1동,2258,2386,2490
송파구,거여2동,3375,3508,4257
송파구,마천1동,4068,4170,4294
송파구,마천2동,3924,4025,4168
송파구,방이1동,2101,2211,2306
송파구,방이2동,3332,3480,3584
송파구,오륜동,2553,2807,3021
송파구,오금동,5969,6294,6751
송파구,송파1동,3314,3389,3577
송파구,송파2동,2795,2856,3002
