자치구,행정동,월평균 총승하차승객수,월별일일평균승하차승객수,연일일평균총승하차승객수
양천구,목2동,219498.0,87358.0,7280.0
양천구,목3동,269236.0,107152.0,8929.0
양천구,목4동,233799.0,93039.0,7753.0
양천구,목5동,429750.0,171078.0,14256.0
양천구,신월1동,110411.0,43935.0,3661.0
양천구,신월2동,181214.0,72109.0,6009.0
양천구,신월3동,72321.0,28757.0,2396.0
양천구,신월4동,198402.0,78949.0,6579.0
양천구,신월5동,135405.0,53851.0,4488.0
양천구,신월6동,61444.0,24456.0,2038.0
양천구,신월7동,176846.0,70363.0,5864.0
양천구,신정1동,236143.0,94000.0,7833.0
양천구,신정2동,72070.0,28687.0,2391.0
양천구,신정3동,489995.0,194914.0,16243.0
양천구,신정4동,411847.0,163868.0,13656.0
양천구,신정6동,196730.0,78321.0,6527.0
양천구,신정7동,141254.0,56218.0,4685.0
영등포구,당산1동,226214.0,90037.0,7503.0
영등포구,당산2동,486818.0,193745.0,16145.0
영등포구,대림1동,163323.0,64996.0,5416.0
영등포구,대림2동,139849.0,55639.0,4637.0
영등포구,대림3동,196779.0,78296.0,6525.0
영등포구,도림동,126444.0,50318.0,4193.0
영등포구,문래동,360689.0,143568.0,11964.0
영등포구,신길1동,142644.0,56758.0,4730.0
영등포구,신길3동,210028.0,83568.0,6964.0
영등포구,신길4동,105461.0,41968.0,3497.0
영등포구,신길5동,132033.0,52532.0,4378.0
영등포구,신길6동,224203.0,89204.0,7434.0
영등포구,신길7동,323467.0,128711.0,10726.0
영등포구,양평1동,145416.0,57874.0,4823.0
영등포구,양평2동,291755.0,116094.0,9674.0
영등포구,여의동,1417578.0,564152.0,47013.0
영등포구,영등포동,1094269.0,435475.0,36290.0
영등포구,영등포본동,264335.0,105170.0,8764.0
용산구,남영동,560604.0,222991.0,18583.0
용산구,보광동,159712.0,63533.0,5294.0
용산구,서빙고동,197717.0,78674.0,6556.0
용산구,용문동,63930.0,25435.0,2120.0
용산구,용산2가동,311548.0,123945.0,10329.0
용산구,원효로1동,271148.0,107864.0,8989.0
용산구,원효로2동,141484.0,56290.0,4691.0
용산구,이촌1동,183717.0,73060.0,6088.0
용산구,이촌2동,76356.0,30344.0,2529.0
용산구,이태원1동,185363.0,73739.0,6145.0
용산구,이태원2동,147713.0,58771.0,4898.0
용산구,청파동,277190.0,110112.0,9176.0
용산구,한강로동,836207.0,332677.0,27723.0
용산구,한남동,732726.0,291606.0,24300.0
용산구,효창동,48093.0,19121.0,1593.0
용산구,후암동,74096.0,29478.0,2456.0
은평구,갈현1동,163082.0,64895.0,5407.0
은평구,갈현2동,224795.0,89430.0,7452.0
은평구,구산동,368429.0,146573.0,12214.0
은평구,녹번동,204081.0,81180.0,6765.0
은평구,대조동,556381.0,221354.0,18446.0
은평구,불광1동,448878.0,178559.0,14880.0
은평구,불광2동,345371.0,137384.0,11449.0
은평구,수색동,191872.0,76328.0,6360.0
은평구,신사1동,370391.0,147379.0,12282.0
은평구,신사2동,270995.0,107782.0,8982.0
은평구,역촌동,90509.0,36015.0,3001.0
은평구,응암1동,608651.0,242162.0,20180.0
은평구,응암2동,183427.0,72993.0,6083.0
은평구,응암3동,236482.0,94067.0,7839.0
은평구,증산동,321535.0,127905.0,10659.0
은평구,진관동,638335.0,253935.0,21162.0
종로구,가회동,40151.0,15972.0,1331.0
종로구,교남동,298466.0,118725.0,9894.0
종로구,무악동,105381.0,41923.0,3494.0
종로구,부암동,282085.0,111935.0,9328.0
종로구,사직동,790262.0,314287.0,26191.0
종로구,삼청동,30652.0,12197.0,1016.0
종로구,숭인1동,101563.0,40376.0,3365.0
종로구,숭인2동,298751.0,118864.0,9905.0
종로구,이화동,351617.0,139917.0,11660.0
종로구,종로1·2·3·4가동,1497673.0,595909.0,49659.0
종로구,종로5·6가동,398499.0,158528.0,13211.0
종로구,창신1동,288302.0,114693.0,9558.0
종로구,창신2동,8014.0,3186.0,266.0
종로구,창신3동,54493.0,21628.0,1802.0
종로구,청운효자동,236898.0,94244.0,7854.0
종로구,평창동,246544.0,98024.0,8169.0
종로구,혜화동,332044.0,132010.0,11000.0
중구,광희동,339857.0,135199.0,11267.0
중구,다산동,86335.0,34355.0,2863.0
중구,동화동,26724.0,10635.0,886.0
중구,명동,870573.0,346399.0,28866.0
중구,소공동,348787.0,138776.0,11565.0
중구,신당5동,206232.0,82057.0,6838.0
중구,신당동,135042.0,53725.0,4477.0
중구,약수동,130942.0,52087.0,4341.0
중구,을지로동,126016.0,50151.0,4179.0
중구,장충동,118008.0,46898.0,3908.0
중구,중림동,248239.0,98763.0,8230.0
중구,청구동,72479.0,28842.0,2404.0
중구,필동,177783.0,70650.0,5887.0
중구,황학동,59834.0,23808.0,1984.0
중구,회현동,979130.0,389554.0,32462.0
중랑구,망우3동,121671.0,48402.0,4034.0
중랑구,망우본동,462614.0,183996.0,15333.0
중랑구,면목2동,179754.0,71518.0,5960.0
중랑구,면목3·8동,355049.0,141105.0,11759.0
중랑구,면목4동,145340.0,57834.0,4820.0
중랑구,면목5동,134373.0,53457.0,4455.0
중랑구,면목7동,151120.0,60104.0,5009.0
중랑구,면목본동,377379.0,150106.0,12509.0
중랑구,묵1동,222070.0,88337.0,7361.0
중랑구,묵2동,85950.0,34190.0,2849.0
중랑구,상봉1동,262225.0,104321.0,8693.0
중랑구,상봉2동,325363.0,129457.0,10788.0
중랑구,신내1동,385386.0,153338.0,12778.0
중랑구,신내2동,322845.0,128469.0,10706.0
중랑구,중화1동,130744.0,52017.0,4335.0
중랑구,중화2동,289962.0,115337.0,9611.0
